,text,binary,multiclass,source,clean_text,language
0,"#ForbiddenDoor thoughts so far today:

The pop for Suzukis Kazi Ni Nare entrance,him and Eddie squaring off,&amp; just the chaos of that match in general was sick.

And then the triple threat tag was amazing as well. FTR finally being so over is beautiful and I really hope Dax is ok.",Hope,Generalized Hope,train,#forbiddendoor thoughts so far today the pop for suzukis kazi ni nare entrancehim and eddie squaring offamp just the chaos of that match in general was sick and then the triple threat tag was amazing as well ftr finally being so over is beautiful and i really hope dax is ok,english
1,#USER# I’m currently matching/exceeding expectations and in line with the club vision so i’m hoping I’ll be okay. Always a risk though,Hope,Generalized Hope,train, im currently matchingexceeding expectations and in line with the club vision so im hoping ill be okay always a risk though,english
2,"#USER# Spokane is losing a good one! Appreciate all of your hard work, you’ve earned this and I hope you enjoy the new position!",Hope,Generalized Hope,train, spokane is losing a good one! appreciate all of your hard work youve earned this and i hope you enjoy the new position!,english
3,"#USER# Nun ja, die Hoffnung besteht. Bei den meisten.",Hope,Generalized Hope,train, nun ja die hoffnung besteht bei den meisten,german
4,"#USER# Gute Nacht, J. und schöne Träume! ✨💚✨",Hope,Generalized Hope,train, gute nacht j und schöne träume! sparklesgreenheartsparkles,german
5,"Wow, Futures tatsächlich ins Close positiv.
Mal sehen was gleich $TSLA bringt. #URL#",Hope,Generalized Hope,train,wow futures tatsächlich ins close positiv mal sehen was gleich tsla bringt ,german
6,me ven normal pero todos los días pienso en los futuros turnos de bomberos que voy a hacer y rezo para no cagarme toda,Hope,Generalized Hope,train,me ven normal pero todos los dias pienso en los futuros turnos de bomberos que voy a hacer y rezo para no cagarme toda,spanish
7,"#USER# Viendo a varios de los que tengo alrededor creo que ese episodio dio demasiadas ideas, pero son felices.",Hope,Generalized Hope,train, viendo a varios de los que tengo alrededor creo que ese episodio dio demasiadas ideas pero son felices,spanish
8,"Disfruten mucho el tiempo de calidad que les brindan sus novios, es lo que más anhelo con el mío, sé que todo esfuerzo que hacemos tendrá su recompensa 🤞🏻❤️‍🩹",Hope,Generalized Hope,train,disfruten mucho el tiempo de calidad que les brindan sus novios es lo que mas anhelo con el mio se que todo esfuerzo que hacemos tendra su recompensa crossedfingerslightskintonemendingheart,spanish
9,جیسے علماء سودی نظام کیخلاف اکھٹے ہوئے ہیں کاش کہ سود کی حرمت کے بارے مطلع کرنے والے صحابہ کرام کے دفاع کیلئے بھی اکھٹے ہوجائے 💔💔,Hope,Generalized Hope,train,جیسے علماء سودی نظام کیخلاف اکھٹے ہوے ہیں کاش کہ سود کی حرمت کے بارے مطلع کرنے والے صحابہ کرام کے دفاع کیلے بھی اکھٹے ہوجاے brokenheart,urdu
10,#USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# الفاظ نہیں ہیں اس درد کو لکھنے کے لیے 😭😭😔😔 آپ تو ماں باپ ہیں ہم ان معصوم بچوں کا دکھ آج تک نہیں بھول سکے اللّٰہ پاک آپ کو صبر عطا کرے اور سب بچوں کو جنت میں اعلٰی مقام عطا فرمائے آمین 🤲🤲🤲,Hope,Generalized Hope,train, الفاظ نہیں ہیں اس درد کو لکھنے کے لیے loudlycryingfacepensiveface پ تو ماں باپ ہیں ہم ان معصوم بچوں کا دکھ ج تک نہیں بھول سکے اللہ پاک پ کو صبر عطا کرے اور سب بچوں کو جنت میں اعلی مقام عطا فرماے مین palmsuptogether,urdu
11,RT #USER# مجھے بیٹھنے کی جگہ ملے، میری آرزو کا بھرم رہےتیری انجمن میں اگر نہیں، تیری انجمن سے قریں سہیپیر سید نصیرالدین نصّیر رح,Hope,Generalized Hope,train, مجھے بیٹھنے کی جگہ ملے میری رزو کا بھرم رہےتیری انجمن میں اگر نہیں تیری انجمن سے قریں سہیپیر سید نصیرالدین نصیر رح,urdu
12,LMAOOOO I pray no one has to go through this😂 fck them other kids tho #URL#,Not Hope,Not Hope,train,lmaoooo i pray no one has to go through thisfacewithtearsofjoy fck them other kids tho ,english
13,"Could he be the warg he was and maintain his place within the Demon Lord’s army? Or was a chance meeting with a strange woman who desired to become a caladrius for a Druid king meant to ruin him?

📣 #USER# #URL# #URL#",Not Hope,Not Hope,train,could he be the warg he was and maintain his place within the demon lords army? or was a chance meeting with a strange woman who desired to become a caladrius for a druid king meant to ruin him? megaphone ,english
14,"Chongyun, you have to believe me... It wasn't me who laid traps inside the house— What? It's not haunted? Well... I, uh, couldn't have known that could I?",Not Hope,Not Hope,train,chongyun you have to believe me it wasnt me who laid traps inside the house what? its not haunted? well i uh couldnt have known that could i?,english
15,"#USER# #USER# Viele der Aufklärer und ihrer Nachfahren im 19. Jahrhundert waren tatsächlich Kinder ihrer Zeit. Das heißt nicht, dass sie in ihrem Wunsch verblendet waren. Ob die Zeit nach 1871 bis heute so eine größere Erfolgsgeschichte war, als die Periode des HRR, darf angezweifelt werden.",Not Hope,Not Hope,train, viele der aufklärer und ihrer nachfahren im 19 jahrhundewaren tatsächlich kinder ihrer zeit das heißt nicht dass sie in ihrem wunsch verblendet waren ob die zeit nach 1871 bis heute so eine größere erfolgsgeschichte war als die periode des hrr darf angezweifelt werden,german
16,"RT #USER# Wunsch und Wirklichkeit bleiben in meinem leben auch eher zwei Dinge, die kaum vereinbar sind.",Not Hope,Not Hope,train, wunsch und wirklichkeit bleiben in meinem leben auch eher zwei dinge die kaum vereinbar sind,german
17,"#USER# #USER# Hat da einer noch Hoffnung auf ""vom tellerwäscher zum milliardär"" ? 
Oder bist du es, elon? 

😂",Not Hope,Not Hope,train, hat da einer noch hoffnung auf vom tellerwäscher zum milliardär ? oder bist du es elon? facewithtearsofjoy,german
18,#USER# #USER# #USER# Sabes que eso fue en 2012 no? Ese año el Balón de Oro se lo regalan a Cristiano,Not Hope,Not Hope,train, sabes que eso fue en 2012 no? ese año el balon de oro se lo regalan a cristiano,spanish
19,Hoy es de esos días en los que anhelo y necesito comer fruta,Not Hope,Not Hope,train,hoy es de esos dias en los que anhelo y necesito comer fruta,spanish
20,#USER# La de la clase de falo? jajaja y si creo que no soporto 💅🏻,Not Hope,Not Hope,train, la de la clase de falo? jajaja y si creo que no soporto nailpolishlightskintone,spanish
21,حکم کس کا بھی تھا ساتھ کون کھڑا رہا اس وقت یہ بات زیادہ معنی رکھتیاسد عمر نے وہی کیا جو پی ٹی ائ کا منشور تھا روز اول سے بعد میں بھی وہی کیا جب دوبارہ منسٹری ملی نہ وہ کسی کے آگے جھکے نہ رکےاللّٰہ جس سے جو کام لینا چاہے@Asad_Umar Stay strong U will always be my favorite 😊,Not Hope,Not Hope,train,حکم کس کا بھی تھا ساتھ کون کھڑا رہا اس وقت یہ بات زیادہ معنی رکھتیاسد عمر نے وہی کیا جو پی ٹی ا کا منشور تھا روز اول سے بعد میں بھی وہی کیا جب دوبارہ منسٹری ملی نہ وہ کسی کے گے جھکے نہ رکےاللہ جس سے جو کام لینا چاہےasadumar stay strong u will always be my favorite smilingfacewithsmilingeyes,urdu
